,string
736,1017.205465
737,1018.823499
738,1019.823499
739,1021.441533
740,1022.441533
741,1024.059567
742,1025.677601
743,1026.677601
744,1028.295635
745,1029.913669
746,1030.913669
747,1032.531703
748,1033.531703
749,1035.149737
750,1036.767771
751,1037.767771
752,1039.385805
753,1040.385805
754,1042.003839
755,1043.621873
756,1044.621873
757,1046.239907
758,1047.857941
759,1048.857941
760,1050.475975
761,1051.475975
762,1053.094009
763,1054.712043
764,1055.712043
765,1057.330077
766,1058.948111
767,1059.948111
768,1061.566145
769,1062.566145
770,1064.184179
771,1065.802213
772,1066.802213
773,1068.420247
774,1069.420247
775,1071.038281
776,1072.656315
777,1073.656315
778,1075.274349
779,1076.892383
780,1077.892383
781,1079.510417
782,1080.510417
783,1082.128451
784,1083.746485
785,1084.746485
786,1086.364519
787,1087.982553
788,1088.982553
789,1090.600587
790,1091.600587
791,1093.21862
792,1094.836654
793,1095.836654
794,1097.454688
795,1098.454688
796,1100.072722
797,1101.690756
798,1102.690756
799,1104.30879
800,1105.926824
801,1106.926824
802,1108.544858
803,1109.544858
804,1111.162892
805,1112.780926
806,1113.780926
807,1115.39896
808,1116.39896
809,1118.016994
810,1119.635028
811,1120.635028
812,1122.253062
813,1123.871096
814,1124.871096
815,1126.48913
816,1127.48913
817,1129.107164
818,1130.725198
819,1131.725198
820,1133.343232
821,1134.961266
822,1135.961266
823,1137.5793
824,1138.5793
825,1140.197334
826,1141.815368
827,1142.815368
828,1144.433402
829,1145.433402
830,1147.051436
831,1148.66947
832,1149.66947
833,1151.287504
834,1152.905538
835,1153.905538
836,1155.523572
837,1156.523572
838,1158.141606
839,1159.75964
840,1160.75964
841,1162.377674
842,1163.995708
843,1164.995708
844,1166.613742
845,1167.613742
846,1169.231776
847,1170.84981
848,1171.84981
849,1173.467844
850,1174.467844
851,1176.085878
852,1177.703912
853,1178.703912
854,1180.321946
855,1181.93998
856,1182.93998
857,1184.558014
858,1185.558014
859,1187.176048
860,1188.794082
861,1189.794082
862,1191.412116
863,1192.412116
864,1194.03015
865,1195.648184
866,1196.648184
867,1198.266218
868,1199.884252
869,1200.884252
870,1202.502286
871,1203.502286
872,1205.12032
873,1206.738354
874,1207.738354
875,1209.356388
876,1210.974422
877,1211.974422
878,1213.592456
879,1214.592456
880,1216.21049
881,1217.828524
882,1218.828524
883,1220.446558
884,1221.446558
885,1223.064592
886,1224.682626
887,1225.682626
888,1227.30066
889,1228.918694
890,1229.918694
891,1231.536728
892,1232.536728
893,1234.154762
894,1235.772796
895,1236.772796
896,1238.39083
897,1239.39083
898,1241.008864
899,1242.626898
900,1243.626898
901,1245.244932
902,1246.862966
903,1247.862966
904,1249.481
905,1250.481
906,1252.099034
907,1253.717068
908,1254.717068
909,1256.335102
910,1257.953136
911,1258.953136
912,1260.57117
913,1261.57117
914,1263.189204
915,1264.807238
916,1265.807238
917,1267.425272
918,1268.425272
919,1270.043306
920,1271.66134
921,1272.66134
922,1274.279374
923,1275.897408
924,1276.897408
925,1278.515442
926,1279.515442
927,1281.133476
928,1282.75151
929,1283.75151
930,1285.369544
931,1286.987578
932,1287.987578
933,1289.605612
934,1290.605612
935,1292.223645
936,1293.841679
937,1294.841679
938,1296.459713
939,1297.459713
940,1299.077747
941,1300.695781
942,1301.695781
943,1303.313815
944,1304.931849
945,1305.931849
946,1307.549883
947,1308.549883
948,1310.167917
949,1311.785951
950,1312.785951
951,1314.403985
952,1315.403985
953,1317.022019
954,1318.640053
955,1319.640053
956,1321.258087
957,1322.876121
958,1323.876121
959,1325.494155
960,1326.494155
961,1328.112189
962,1329.730223
963,1330.730223
964,1332.348257
965,1333.966291
966,1334.966291
967,1336.584325
968,1337.584325
969,1339.202359
970,1340.820393
971,1341.820393
972,1343.438427
973,1344.438427
974,1346.056461
975,1347.674495
976,1348.674495
977,1350.292529
978,1351.910563
979,1352.910563
980,1354.528597
981,1355.528597
982,1357.146631
983,1358.764665
984,1359.764665
985,1361.382699
986,1362.382699
987,1364.000733
988,1365.618767
989,1366.618767
990,1368.236801
991,1369.854835
992,1370.854835
993,1372.472869
994,1373.472869
995,1375.090903
996,1376.708937
997,1377.708937
998,1379.326971
999,1380.945005
1000,1381.945005
1001,1383.563039
1002,1384.563039
1003,1386.181073
1004,1387.799107
1005,1388.799107
1006,1390.417141
1007,1391.417141
1008,1393.035175
1009,1394.653209
1010,1395.653209
1011,1397.271243
1012,1398.889277
